Date,Hour,Temperature,Relative_Humidity,Geopotential_Pressure,Wind_Direction,Wind_Velocity_KM_H
31/01/2000,21Z,14.6,57,1029.6 Hpa,90º (E),3.7
31/01/2000,18Z,17.2,49,1028.3 Hpa,50º (NE),3.7
31/01/2000,15Z,-,0,1028.3 Hpa,360º (N),3.7
31/01/2000,12Z,16.6,45,1029.9 Hpa,90º (E),3.7
31/01/2000,09Z,10.2,71,1029.3 Hpa,60º (NE),14.8
31/01/2000,06Z,7.4,76,1028.5 Hpa,50º (NE),11.1
30/01/2000,21Z,13.6,47,1028.6 Hpa,60º (NE),20.4
30/01/2000,18Z,15.0,50,1028.8 Hpa,40º (NE),11.1
30/01/2000,15Z,19.2,30,1029.1 Hpa,80º (E),24.1
30/01/2000,12Z,14.8,43,1032.5 Hpa,60º (NE),16.7
30/01/2000,09Z,9.0,65,1032.9 Hpa,50º (NE),14.8
30/01/2000,06Z,6.0,78,1031.0 Hpa,40º (NE),14.8
29/01/2000,21Z,11.4,69,1029.7 Hpa,40º (NE),11.1
29/01/2000,18Z,16.0,48,1028.0 Hpa,10º (N),3.7
29/01/2000,12Z,14.6,53,1028.4 Hpa,60º (NE),11.1
29/01/2000,06Z,9.4,76,1026.6 Hpa,50º (NE),9.3
28/01/2000,21Z,12.0,75,1025.8 Hpa,calm,0
28/01/2000,18Z,14.6,69,1024.7 Hpa,360º (N),3.7
28/01/2000,12Z,13.6,60,1025.7 Hpa,50º (NE),13.0
28/01/2000,09Z,8.2,80,1025.6 Hpa,60º (NE),20.4
28/01/2000,06Z,7.4,82,1024.0 Hpa,60º (NE),11.1
27/01/2000,21Z,11.2,77,1024.0 Hpa,60º (NE),9.3
27/01/2000,18Z,15.0,67,1022.4 Hpa,60º (NE),14.8
27/01/2000,15Z,17.0,65,1022.4 Hpa,60º (NE),16.7
27/01/2000,12Z,14.4,67,1012.9 Hpa,70º (E),16.7
27/01/2000,09Z,8.6,83,1023.7 Hpa,70º (E),18.5
27/01/2000,06Z,8.4,97,1022.6 Hpa,60º (NE),18.5
26/01/2000,21Z,11.0,92,1022.2 Hpa,calm,0
26/01/2000,18Z,11.4,92,1020.4 Hpa,70º (E),13.0
26/01/2000,15Z,12.4,85,1018.7 Hpa,330º (NW),16.7
26/01/2000,12Z,13.6,60,1018.7 Hpa,50º (NE),11.1
26/01/2000,09Z,9.0,67,1018.0 Hpa,40º (NE),7.4
26/01/2000,06Z,7.2,68,1016.7 Hpa,60º (NE),11.1
25/01/2000,21Z,9.4,58,1015.9 Hpa,50º (NE),3.7
25/01/2000,18Z,9.8,61,1015.2 Hpa,90º (E),5.6
25/01/2000,15Z,12.6,37,1014.6 Hpa,90º (E),5.6
25/01/2000,12Z,9.6,48,1016.4 Hpa,70º (E),3.7
25/01/2000,09Z,2.8,75,1016.9 Hpa,20º (N),5.6
